n.chicks.released.per.year,n.years.of.captive.releases,surv.improvement,time.lag.for.surv.imp,fut.pop.growth.rate,lcl,ucl
10,20,4%,10,0.970180042,0.930547847,1.001931577
1,30,8%,15,0.970192404,0.924694042,1.007574151
11,20,4%,15,0.970279391,0.930583678,1.001565685
10,30,2%,5,0.970488448,0.93754977,0.996794154
4,10,8%,15,0.970514939,0.921820513,1.008890172
12,10,6%,10,0.970664833,0.923397784,1.00740494
3,30,6%,10,0.970931331,0.930621265,1.004286305
15,30,none,15,0.971009964,0.940321753,0.995001682
15,30,none,5,0.97108546,0.939326894,0.995323147
6,30,4%,5,0.971112027,0.934396873,1.00080026
15,30,none,10,0.971184524,0.939394733,0.995124239
9,10,6%,5,0.9713583,0.924736877,1.008488409
7,30,4%,15,0.971377557,0.937139884,0.999651584
6,20,6%,15,0.971434613,0.930370541,1.004968039
10,20,4%,5,0.971516397,0.931085655,1.003379937
13,10,6%,10,0.971613727,0.925891102,1.008409663
4,30,6%,15,0.971955012,0.934087925,1.003579966
11,20,4%,10,0.972067471,0.933886487,1.003422978
11,30,2%,15,0.972086565,0.939848284,0.997821143
5,10,8%,15,0.972147181,0.922950948,1.009919826
1,10,8%,10,0.972185642,0.922135217,1.011211782
5,20,6%,10,0.972254363,0.930325825,1.006486922
12,20,4%,15,0.972314371,0.933947832,1.003175029
2,20,8%,15,0.972461333,0.926633243,1.008928739
10,10,6%,5,0.972495234,0.925949445,1.008994534
0,10,8%,10,0.972522026,0.921532254,1.012044953
0,20,8%,10,0.972543983,0.921605332,1.011756137
0,30,8%,10,0.972546777,0.921758893,1.011496071
4,20,6%,5,0.972583939,0.930005225,1.008065344
11,30,2%,10,0.972623212,0.940274042,0.99858134
14,10,6%,10,0.972777248,0.926358232,1.009208255
11,30,2%,5,0.972888756,0.940458401,0.998944111
7,30,4%,10,0.972924504,0.937623512,1.001631557
6,10,8%,15,0.973463051,0.926174103,1.011556698
11,10,6%,5,0.973632764,0.926369851,1.010553809
11,20,4%,5,0.973671975,0.934457027,1.004940488
12,20,4%,10,0.973833733,0.935765252,1.004927519
15,10,6%,10,0.973837713,0.92730323,1.010129942
2,10,8%,10,0.973902004,0.92584229,1.012066564
13,20,4%,15,0.973966538,0.935539674,1.004462803
3,30,6%,5,0.974128742,0.934382616,1.007572333
7,20,6%,15,0.974179449,0.934112012,1.007192513
7,30,4%,5,0.974360831,0.93924154,1.003022039
12,30,2%,15,0.974401499,0.941908959,1.000021227
1,20,8%,10,0.974515605,0.926407568,1.012419742
8,30,4%,15,0.97458651,0.940432565,1.001922391
12,10,6%,5,0.974649304,0.927978101,1.01090395
6,20,6%,10,0.974835592,0.934210987,1.00819814
12,30,2%,10,0.974870966,0.943026204,1.000545717
4,30,6%,10,0.974877044,0.937335271,1.007055827
7,10,8%,15,0.974951792,0.926945314,1.012236392
3,10,8%,10,0.975235349,0.92660916,1.013708571
5,20,6%,5,0.975344959,0.933924167,1.009829512
2,30,8%,15,0.975498733,0.933997045,1.010484377
12,30,2%,5,0.975517947,0.943400557,1.001119911
12,20,4%,5,0.975528525,0.937335271,1.006854071
13,10,6%,5,0.975543339,0.930005225,1.012083625
13,20,4%,10,0.975866107,0.937709612,1.006511946
5,30,6%,15,0.975866107,0.939392671,1.006623316
14,20,4%,15,0.975878537,0.938100658,1.006108615
8,30,4%,10,0.975878537,0.941302716,1.003912648
3,20,8%,15,0.975917928,0.932204428,1.011650887
1,30,8%,10,0.975917928,0.931383624,1.013447126
8,10,8%,15,0.975994775,0.930065838,1.013372863
13,30,2%,15,0.976590555,0.944854745,1.001789331
8,20,6%,15,0.976632424,0.937464191,1.008980088
14,10,6%,5,0.97665219,0.930510071,1.013139363
4,10,8%,10,0.976852417,0.930101165,1.014763005
13,30,2%,10,0.976954016,0.945545544,1.002294219
13,20,4%,5,0.977011665,0.938933124,1.008237564
8,30,4%,5,0.9771128,0.943173205,1.005667647
7,20,6%,10,0.977183534,0.937478057,1.010574277
9,30,4%,15,0.977307084,0.943886361,1.004624222
9,10,8%,15,0.977339536,0.930571431,1.014251017
13,30,2%,5,0.977381789,0.945865592,1.002899463
15,10,6%,5,0.977396751,0.931519532,1.013770983
14,20,4%,10,0.977399382,0.940360204,1.008091333
15,20,4%,15,0.977413771,0.940494507,1.007486857
4,30,6%,5,0.977916093,0.939274109,1.010494913
6,20,6%,5,0.977936209,0.936681618,1.011626559
2,20,8%,10,0.978033,0.933057576,1.014829299
5,10,8%,10,0.978261211,0.930695417,1.015736308
1,10,8%,5,0.978446876,0.93031368,1.017054689
10,10,8%,15,0.97850637,0.932682083,1.015622322
14,30,2%,15,0.978602631,0.947363091,1.003754829
5,30,6%,10,0.978719451,0.941792309,1.009748992
9,30,4%,10,0.978742639,0.945632793,1.006516031
14,20,4%,5,0.978759843,0.940684175,1.009683406
0,10,8%,5,0.978830223,0.93031368,1.017705665
9,20,6%,15,0.978898738,0.940373273,1.010758915
0,30,8%,5,0.97891121,0.930474275,1.017656275
0,20,8%,5,0.978938251,0.930398749,1.017941751
14,30,2%,10,0.978971255,0.947942759,1.004406371
4,20,8%,15,0.979153842,0.937476118,1.01417267
15,20,4%,10,0.979170053,0.941203101,1.009705029
6,30,6%,15,0.979369758,0.943861673,1.009152892
14,30,2%,5,0.979433033,0.948452748,1.004768988
8,20,6%,10,0.979565359,0.94037134,1.012284481
6,10,8%,10,0.979577913,0.933778626,1.017078261
11,10,8%,15,0.979812685,0.934074253,1.016318221
9,30,4%,5,0.979825817,0.946008027,1.007966345
2,10,8%,5,0.979827235,0.931235506,1.018283104
10,30,4%,15,0.979837631,0.947466235,1.006860488
3,30,8%,15,0.980056724,0.94063615,1.013522972
1,20,8%,5,0.980109106,0.933912045,1.017950084
7,20,6%,5,0.980156262,0.940420752,1.013444795
1,10,10%,15,0.980263959,0.931634337,1.01918747
15,20,4%,5,0.980425233,0.94357286,1.011105077
15,30,2%,15,0.980493812,0.949538909,1.005333343
0,30,10%,15,0.980528565,0.931060716,1.020074039
0,20,10%,15,0.980556543,0.930718814,1.019689721
0,10,10%,15,0.980593892,0.931085351,1.019858674
2,30,8%,10,0.980718848,0.938599399,1.016142622
12,10,8%,15,0.980811173,0.934646311,1.017403373
7,10,8%,10,0.98085553,0.934433704,1.018403445
15,30,2%,10,0.980864482,0.950322525,1.006131952
10,20,6%,15,0.980930764,0.943246815,1.012527773
10,30,4%,10,0.981100427,0.948553596,1.00849931
5,30,6%,5,0.981222886,0.944273162,1.012939472
3,20,8%,10,0.981252681,0.937783817,1.01686939
15,30,2%,5,0.981406893,0.950723726,1.006580632
3,10,8%,5,0.98151238,0.934261066,1.019460471
1,30,8%,5,0.98155174,0.93745808,1.018509083
9,20,6%,10,0.981694908,0.943087578,1.014030464
2,10,10%,15,0.981893231,0.9341994,1.020260057
13,10,8%,15,0.981898221,0.936883318,1.01841684
6,30,6%,10,0.981926277,0.946306482,1.012422805
8,10,8%,10,0.982047324,0.936253536,1.019473617
5,20,8%,15,0.982071792,0.940796519,1.016019974
11,30,4%,15,0.982232996,0.949774838,1.008956727
10,30,4%,5,0.982348298,0.949198453,1.009814292
4,10,8%,5,0.982491563,0.935948048,1.020417728
8,20,6%,5,0.982493471,0.943246815,1.015328592
7,30,6%,15,0.98254581,0.948274031,1.011580018
1,20,10%,15,0.982727741,0.937056237,1.020835813
14,10,8%,15,0.982871478,0.937801792,1.019501646
11,20,6%,15,0.982976871,0.945254515,1.014278158
9,10,8%,10,0.983341419,0.937709612,1.019942484
11,30,4%,10,0.983391454,0.951065001,1.010428971
2,20,8%,5,0.983417544,0.938367458,1.020113516
3,10,10%,15,0.983573474,0.936854881,1.021680933
5,10,8%,5,0.983755642,0.937485984,1.021523051
10,20,6%,10,0.98392578,0.945545153,1.016035024
1,30,10%,15,0.984029285,0.939700056,1.021008771
15,10,8%,15,0.98403136,0.939145011,1.020208225
4,20,8%,10,0.98419053,0.941468847,1.019367815
4,30,8%,15,0.984216612,0.946613618,1.016638318
12,30,4%,15,0.984319052,0.952614267,1.01092964
9,20,6%,5,0.984358861,0.946008027,1.016891791
6,30,6%,5,0.98436571,0.948715625,1.015421353
10,10,8%,10,0.984394494,0.939041277,1.021534652
11,30,4%,5,0.984434365,0.952488559,1.011730347
6,20,8%,15,0.984735805,0.944381095,1.018274301
12,20,6%,15,0.984877488,0.947863902,1.016054716
3,30,8%,10,0.984919046,0.94574221,1.018750227
7,30,6%,10,0.98501735,0.950544466,1.014864567
6,10,8%,5,0.9850421,0.939242722,1.022556847
4,10,10%,15,0.985151985,0.938365463,1.023053677
8,30,6%,15,0.985398205,0.95195576,1.013906494
11,10,8%,10,0.985661285,0.940822656,1.022115527
2,30,8%,5,0.985731529,0.943736603,1.021334104
12,30,4%,10,0.985769614,0.953774258,1.012448206
11,20,6%,10,0.985849003,0.94782437,1.017723427
3,20,8%,5,0.986145269,0.943358203,1.022433624
2,20,10%,15,0.986185876,0.942431561,1.023202226
10,20,6%,5,0.98628723,0.9483361,1.018659119
7,10,8%,5,0.986308193,0.940909267,1.023645085
13,30,4%,15,0.986551973,0.955127432,1.012667218
13,20,6%,15,0.986598422,0.949012865,1.017432303
12,10,8%,10,0.986612927,0.942168475,1.023295696
12,30,4%,5,0.986653873,0.954799658,1.013732193
5,10,10%,15,0.986706286,0.940337524,1.024237407
5,20,8%,10,0.986745125,0.946108239,1.02158558
7,20,8%,15,0.987259347,0.948298069,1.020455979
7,30,6%,5,0.987368476,0.952485822,1.017572344
8,10,8%,5,0.987406176,0.942485119,1.024495297
13,10,8%,10,0.987577648,0.943258768,1.024249664
8,30,6%,10,0.987601729,0.95401288,1.017025351
12,20,6%,10,0.987602806,0.950482403,1.019123481
5,30,8%,15,0.987665779,0.951411898,1.019206893
13,30,4%,10,0.987705236,0.956634133,1.014321384
6,10,10%,15,0.987967428,0.943018555,1.025477707
9,30,6%,15,0.987974724,0.95489882,1.016361838
11,20,6%,5,0.988154808,0.950209024,1.020194955
14,20,6%,15,0.988219888,0.951463531,1.019093509
4,30,8%,10,0.988363095,0.950812599,1.021464362
1,10,10%,10,0.988394401,0.941466594,1.027179537
14,30,4%,15,0.988423796,0.957751527,1.014620286
0,10,10%,10,0.988564212,0.94078386,1.027661661
13,30,4%,5,0.988617956,0.957060872,1.015374195
0,20,10%,10,0.98864527,0.940746316,1.027654361
9,10,8%,5,0.988676587,0.943584938,1.025698233
0,30,10%,10,0.988711536,0.94077211,1.027672292
14,10,8%,10,0.988798511,0.944468659,1.025150403
2,30,10%,15,0.98884357,0.947838369,1.024276626
4,20,8%,5,0.988875299,0.946843913,1.024440743
6,20,8%,10,0.98908366,0.949252077,1.023412936
7,10,10%,15,0.989227543,0.943623214,1.026339106
3,30,8%,5,0.989235273,0.949579541,1.023730361
13,20,6%,10,0.989264777,0.952338936,1.020523297
8,20,8%,15,0.989508164,0.950885024,1.022195998
14,30,4%,10,0.989559978,0.958695186,1.015822657
10,10,8%,5,0.989616834,0.945187486,1.026464544
15,10,8%,10,0.989645993,0.94585386,1.026263918
3,20,10%,15,0.989671237,0.946905544,1.025605819
8,30,6%,5,0.989892586,0.955616282,1.0199065
2,10,10%,10,0.989920508,0.94366184,1.028379996
15,20,6%,15,0.989945963,0.953595771,1.020221095
12,20,6%,5,0.989967195,0.952650456,1.021693626
1,20,10%,10,0.990257428,0.944297608,1.028046874
9,30,6%,10,0.990297324,0.956846198,1.018778418
15,30,4%,15,0.990334463,0.959529534,1.016183136
8,10,10%,15,0.990429516,0.946019771,1.027892648
10,30,6%,15,0.990454919,0.958086478,1.018272189
11,10,8%,5,0.990523553,0.946082377,1.02743949
14,30,4%,5,0.990598087,0.959183826,1.017237352
6,30,8%,15,0.99098745,0.955628755,1.021709136
14,20,6%,10,0.991025961,0.954195969,1.021975164
1,30,10%,10,0.991206795,0.947233691,1.028705419
5,20,8%,5,0.99129517,0.950711865,1.026036951
3,10,10%,10,0.991412862,0.945493442,1.029304009
15,30,4%,10,0.991465103,0.960564798,1.017630228
7,20,8%,10,0.991651755,0.952640629,1.025286308
12,10,8%,5,0.991664376,0.947505514,1.028465747
9,20,8%,15,0.991664376,0.953479928,1.0242921
13,20,6%,5,0.991704375,0.954481795,1.023364693
5,30,8%,10,0.991729494,0.955417995,1.024072613
9,10,10%,15,0.991729494,0.94662825,1.028582733
9,30,6%,5,0.99235388,0.958658324,1.021772315
15,30,4%,5,0.992368632,0.961460401,1.018822638
15,20,6%,10,0.992432757,0.955670059,1.023611229
4,20,10%,15,0.992582905,0.951076906,1.027724462
13,10,8%,5,0.992589462,0.948422556,1.029106423
4,30,8%,5,0.992593576,0.954529488,1.026422958
10,30,6%,10,0.992622515,0.95956545,1.021254875
11,30,6%,15,0.992740834,0.960316576,1.020456447
4,10,10%,10,0.992750246,0.946613311,1.030548445
3,30,10%,15,0.992880697,0.95409366,1.027094918
10,10,10%,15,0.993008014,0.948529313,1.02979603
14,20,6%,5,0.993183535,0.956414437,1.024679432
6,20,8%,5,0.993446343,0.953120618,1.028088338
2,20,10%,10,0.993465906,0.949432661,1.030339126
14,10,8%,5,0.993610144,0.95014428,1.030061869
10,20,8%,15,0.993717657,0.956258261,1.02594144
8,20,8%,10,0.993739118,0.954581339,1.027085533
7,30,8%,15,0.993830215,0.95933291,1.024076929
11,10,10%,15,0.994004883,0.950252904,1.030801969
5,10,10%,10,0.99403769,0.94861426,1.031954431
10,30,6%,5,0.994449092,0.961845553,1.023663876
15,10,8%,5,0.994507746,0.950812902,1.03082949
15,20,6%,5,0.994676837,0.957578523,1.02599494
6,30,8%,10,0.994719218,0.958734153,1.026536906
11,30,6%,10,0.994838155,0.962314247,1.023170557
12,30,6%,15,0.994920503,0.963157114,1.022294313
12,10,10%,15,0.995101463,0.950975368,1.031602834
2,30,10%,10,0.995448686,0.954144652,1.031582951
5,20,10%,15,0.995475075,0.955088619,1.030022216
6,10,10%,10,0.99548775,0.950482403,1.032920858
7,20,8%,5,0.995575189,0.956061783,1.029574998
11,20,8%,15,0.995632795,0.958531798,1.027600457
5,30,8%,5,0.995664788,0.958543785,1.02844024
9,20,8%,10,0.995786075,0.957387042,1.028905734
1,10,10%,5,0.995806721,0.949539387,1.034476448
13,10,10%,15,0.996216272,0.952712518,1.032679278
0,20,10%,5,0.996269376,0.949284547,1.035504764
3,20,10%,10,0.996276944,0.9545934,1.032326322
0,10,10%,5,0.996326644,0.950482403,1.035517526
0,30,10%,5,0.996434389,0.949367909,1.035386516
4,30,10%,15,0.996461455,0.958682884,1.02995057
8,30,8%,15,0.996684961,0.962717136,1.026390511
7,10,10%,10,0.996712373,0.951944475,1.034157686
11,30,6%,5,0.996725192,0.964191689,1.025618544
12,30,6%,10,0.99681942,0.964943177,1.025201777
13,30,6%,15,0.99692282,0.965276096,1.02415064
14,10,10%,15,0.997244647,0.953620649,1.033664195
2,10,10%,5,0.997274842,0.951438737,1.035357202
7,30,8%,10,0.99744719,0.962726924,1.02847495
1,20,10%,5,0.997487967,0.953157389,1.035394412
12,20,8%,15,0.997579324,0.960832207,1.029225378
8,20,8%,5,0.997591641,0.958746458,1.031310465
10,20,8%,10,0.99772747,0.959894653,1.030339077
6,20,10%,15,0.997751369,0.958492803,1.031926915
8,10,10%,10,0.997943001,0.953246786,1.035165954
15,10,10%,15,0.998281934,0.954811359,1.034556122
1,30,10%,5,0.998325341,0.954619878,1.035769267
6,30,8%,5,0.998354071,0.962501471,1.030765366
3,10,10%,5,0.998597901,0.953595771,1.036746533
12,30,6%,5,0.998759746,0.966513349,1.027141226
14,30,6%,15,0.998916548,0.967876103,1.025651938
13,30,6%,10,0.99895684,0.967445243,1.026415117
3,30,10%,10,0.998969573,0.959867221,1.033921215
9,10,10%,10,0.999008372,0.955139765,1.036020059
4,20,10%,10,0.999033315,0.958199106,1.03469803
9,30,8%,15,0.999035542,0.966071249,1.028365533
13,20,8%,15,0.999139517,0.962162782,1.030483835
11,20,8%,10,0.999471879,0.962225738,1.032092016
9,20,8%,5,0.999493075,0.961013189,1.033159128
4,10,10%,5,0.99978269,0.954848194,1.037689164
5,30,10%,15,0.999818999,0.963541625,1.032242248
8,30,8%,10,1.000059469,0.966057189,1.0305655
10,10,10%,10,1.000167464,0.956381321,1.037155435
2,20,10%,5,1.000176012,0.956845968,1.037415813
7,20,10%,15,1.000215705,0.961291184,1.033782446
13,30,6%,5,1.000667248,0.968994078,1.028905566
15,30,6%,15,1.000677687,0.970097387,1.02746354
14,30,6%,10,1.000792797,0.969294323,1.028337613
14,20,8%,15,1.000848747,0.96468338,1.032298477
7,30,8%,5,1.001049198,0.966063305,1.032633258
5,10,10%,5,1.00119567,0.956933736,1.038924619
12,20,8%,10,1.001262937,0.964280335,1.033552458
10,20,8%,5,1.001267182,0.963416307,1.034312078
11,10,10%,10,1.001307223,0.957984847,1.038152465
10,30,8%,15,1.001443778,0.969073461,1.03038016
5,20,10%,10,1.001510364,0.960844879,1.036523005
2,30,10%,5,1.001748173,0.960507492,1.038261622
4,30,10%,10,1.002279005,0.963878772,1.036143619
15,20,8%,15,1.002319695,0.96597593,1.033559441
6,10,10%,5,1.002322091,0.958041315,1.039744397
12,10,10%,10,1.002334316,0.959021965,1.038976949
8,20,10%,15,1.002393714,0.964583679,1.035993783
9,30,8%,10,1.002408139,0.968982068,1.03278494
14,30,6%,5,1.00246736,0.970922326,1.030215974
15,30,6%,10,1.002485881,0.971306755,1.029952448
3,20,10%,5,1.002684471,0.960544266,1.039196514
6,30,10%,15,1.002746316,0.967581952,1.034805045
13,20,8%,10,1.002763577,0.966126675,1.035088091
11,20,8%,5,1.003083285,0.965346366,1.035718214
13,10,10%,10,1.00335837,0.960416997,1.040094306
8,30,8%,5,1.003419386,0.968757899,1.034547886
7,10,10%,5,1.003477392,0.959055956,1.041069079
11,30,8%,15,1.003605565,0.971596826,1.032523679
6,20,10%,10,1.003791752,0.963733292,1.038645841
15,30,6%,5,1.004167673,0.972893206,1.032310996
14,10,10%,10,1.004434918,0.961263614,1.041398061
14,20,8%,10,1.004449704,0.968280976,1.036412704
8,10,10%,5,1.004488057,0.960455527,1.042084882
9,20,10%,15,1.004567032,0.966792636,1.037558847
10,30,8%,10,1.00467679,0.971883322,1.034342608
12,20,8%,5,1.004692517,0.966818468,1.037494004
3,30,10%,5,1.004937134,0.965346822,1.040317333
4,20,10%,5,1.00500647,0.963643065,1.040986378
5,30,10%,10,1.005214337,0.968501113,1.038645193
15,10,10%,10,1.005386607,0.962487492,1.042134997
9,30,8%,5,1.005563377,0.971703821,1.036567893
12,30,8%,15,1.005669618,0.973837474,1.034216335
9,10,10%,5,1.005705887,0.961997159,1.042783579
7,30,10%,15,1.005715336,0.970953767,1.036957858
15,20,8%,10,1.00594673,0.969361802,1.037810011
7,20,10%,10,1.005954138,0.966724246,1.040239237
13,20,8%,5,1.006244002,0.969132953,1.038699632
10,20,10%,15,1.006461726,0.969043991,1.03910586
10,10,10%,5,1.006653079,0.96322013,1.043860728
11,30,8%,10,1.006821613,0.974280119,1.036137595
5,20,10%,5,1.007236876,0.966968662,1.042808392
11,10,10%,5,1.007572333,0.964280177,1.044826637
10,30,8%,5,1.007704744,0.974335761,1.038151017
13,30,8%,15,1.007715758,0.976176187,1.035954148
4,30,10%,5,1.007747385,0.96993143,1.042762335
14,20,8%,5,1.007774808,0.970686146,1.040173084
8,20,10%,10,1.007914356,0.969812967,1.041952064
6,30,10%,10,1.008062882,0.972083004,1.040782682
8,30,10%,15,1.008221753,0.974332955,1.03906754
11,20,10%,15,1.008416738,0.971224559,1.041050322
12,10,10%,5,1.008531918,0.965709796,1.04572327
12,30,8%,10,1.008831701,0.976641514,1.03803016
15,20,8%,5,1.009154602,0.972528118,1.041171276
6,20,10%,5,1.009273519,0.969654306,1.044670022
14,30,8%,15,1.009510345,0.978179133,1.037576798
13,10,10%,5,1.00959999,0.966844629,1.046393533
11,30,8%,5,1.009694115,0.976627337,1.039945517
9,20,10%,10,1.009906516,0.971871137,1.04356427
12,20,10%,15,1.010191885,0.973569547,1.042468169
5,30,10%,5,1.010494859,0.973418139,1.044639644
7,30,10%,10,1.010515859,0.975579211,1.042758582
14,10,10%,5,1.010541185,0.967849993,1.047482978
9,30,10%,15,1.010541185,0.976938601,1.041054643
13,30,8%,10,1.010688228,0.978315147,1.039631881
7,20,10%,5,1.011239624,0.972122688,1.046143224
15,30,8%,15,1.011329054,0.980056724,1.039275134
15,10,10%,5,1.011493005,0.968992428,1.04827109
12,30,8%,5,1.01163573,0.978650279,1.041533261
10,20,10%,10,1.011772234,0.974347424,1.045296175
13,20,10%,15,1.011813851,0.975581212,1.044017741
14,30,8%,10,1.012580871,0.980417863,1.041355639
6,30,10%,5,1.01286934,0.976617211,1.046569334
10,30,10%,15,1.012875356,0.979876641,1.043055866
8,20,10%,5,1.012996187,0.974413455,1.047683034
8,30,10%,10,1.013001937,0.978204357,1.044857666
13,30,8%,5,1.013317198,0.980675788,1.042988002
14,20,10%,15,1.01342474,0.977620115,1.045225014
11,20,10%,10,1.013519084,0.976169523,1.04659746
15,30,8%,10,1.014226368,0.982475341,1.042837107
9,20,10%,5,1.014901787,0.976353875,1.04931284
11,30,10%,15,1.014969164,0.982180294,1.044817724
15,20,10%,15,1.01498485,0.97883464,1.046852934
14,30,8%,5,1.015024852,0.982533301,1.04449261
12,20,10%,10,1.015193927,0.978185102,1.048255681
9,30,10%,10,1.015202127,0.981039816,1.046530184
7,30,10%,5,1.015292243,0.979575701,1.048460443
10,20,10%,5,1.016553397,0.978798274,1.050670466
15,30,8%,5,1.016688949,0.984734842,1.046019647
13,20,10%,10,1.016876002,0.979827236,1.049453082
12,30,10%,15,1.017031025,0.984273066,1.046676221
10,30,10%,10,1.017309233,0.98359866,1.048341414
8,30,10%,5,1.017499929,0.981963334,1.050381836
11,20,10%,5,1.018126767,0.980414522,1.051971953
14,20,10%,10,1.01833912,0.981897971,1.051126907
13,30,10%,15,1.018892055,0.986478222,1.048271348
11,30,10%,10,1.019310415,0.985783964,1.050117498
9,30,10%,5,1.01953176,0.984732945,1.052014902
12,20,10%,5,1.019622302,0.982182556,1.053440293
15,20,10%,10,1.019892799,0.983484499,1.052481601
14,30,10%,15,1.020642091,0.988469539,1.049720236
12,30,10%,10,1.021186947,0.988304725,1.051830629
13,20,10%,5,1.021226289,0.983942424,1.054575981
10,30,10%,5,1.02152083,0.987083672,1.053414675
15,30,10%,15,1.022364559,0.990452465,1.051169533
14,20,10%,5,1.022561838,0.985969249,1.055895028
13,30,10%,10,1.023090979,0.990095611,1.053248556
11,30,10%,5,1.023254551,0.989207488,1.05501671
15,20,10%,5,1.023983886,0.987433815,1.057104488
14,30,10%,10,1.024746342,0.991873272,1.054938418
12,30,10%,5,1.025046781,0.991443218,1.056454853
15,30,10%,10,1.026359422,0.993582922,1.056232725
13,30,10%,5,1.026766616,0.993406209,1.057988873
14,30,10%,5,1.028413272,0.995222582,1.059367309
15,30,10%,5,1.029870117,0.996710021,1.060517973
